title,price,location,time,status,seller_nickname,description,image_count,chat_count,interest_count,view_count,manner_temperature,url
주식 투자 도서 3권,"6,000원",대전 서구 둔산동,끌올 1시간 전,판매중,달팽이전문가10년차,주식 투자 관련 도서 3권 - 제시 리버모어 - 승률 게임 - 데이트레이딩 상태는 사진 참고해주세요~ 상태는좋습니다 내부도 새책처럼깔끔합니다 가격은 개별가격입니당 교환환불xxxxxx,6,3,8,461,37.4°C,https://www.daangn.com/kr/buy-sell/%EC%A3%BC%EC%8B%9D-%ED%88%AC%EC%9E%90-%EB%8F%84%EC%84%9C-3%EA%B6%8C-xx5qwouieg6h/
베고니아 신밧드,"5,000원",대전 서구 둔산동,1시간 전,판매중,딩가,목베고니아 신밧드입니다. 화분 : 지름 8cm,9,0,0,3,90.9°C,https://www.daangn.com/kr/buy-sell/%EB%B2%A0%EA%B3%A0%EB%8B%88%EC%95%84-%EC%8B%A0%EB%B0%A7%EB%93%9C-u2prffs5tvxf/
Mackage Moritz-X 블랙 패딩 40사이즈,"620,000원",대전 서구 둔산동,끌올 1시간 전,판매중,당근도둑,맥케이지 모르츠 X 블랙 실버퍼 패딩입니다 사이즈는 40사이즈입니다 실착은 l-xl정도 됩니다! 네고 가능합니다  궁금하신건 사진 더 찍어서 보내줄수 있어요 편하게 연락주세요!,11,2,1,52,37.3°C,https://www.daangn.com/kr/buy-sell/mackage-moritz-x-%EB%B8%94%EB%9E%99-%ED%8C%A8%EB%94%A9-40%EC%82%AC%EC%9D%B4%EC%A6%88-szopsdkaeof5/
4월 전일정 박효신 A&E 2026 인천 콘서트,"250,000원",대전 서구 둔산동,1시간 전,판매중,누구세용,"박효신 LIVE A & E 2026 인천 콘서트  인천문학경기장 주경기장 4월 4일(토) 연석 FLOOR &3구역 2열  FLOOR &10구역 2열 4월 5일(일) 연석 FLOOR &14구역 1,2열 4월 11일(토) 연석 FLOOR &1구역 1열 FLOOR &4구역 2열  낱개로도 구매가 가능합니다",5,2,2,31,36.5°C,https://www.daangn.com/kr/buy-sell/4%EC%9B%94-%EC%A0%84%EC%9D%BC%EC%A0%95-%EB%B0%95%ED%9A%A8%EC%8B%A0-a-e-2026-%EC%9D%B8%EC%B2%9C-%EC%BD%98%EC%84%9C%ED%8A%B8-f8nxdugsbf1w/
호식이두마리치킨 7천원 요기요 할인쿠폰,300원,대전 동구 대동,1시간 전,판매중,당근온도,"요기요 앱에서 호식이두마리치킨 주문 시 사용 가능한 7,000원 할인 쿠폰입니다 2월 11일(수)부터 2월 13일(금)까지 사용 가능합니다",5,0,0,4,75.5°C,https://www.daangn.com/kr/buy-sell/%ED%98%B8%EC%8B%9D%EC%9D%B4%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-7%EC%B2%9C%EC%9B%90-%EC%9A%94%EA%B8%B0%EC%9A%94-%ED%95%A0%EC%9D%B8%EC%BF%A0%ED%8F%B0-xe2724zwu59s/
슈퍼윙스 월드비행본부,"10,000원",대전 서구 둔산동,1시간 전,판매중,byeol,"슈퍼윙스 월드비행본부 입니다 파손, 변색 없이 깨끗합니다 빛, 소리도 잘 나와요 가격제안 받아요~ 환불 X",6,0,1,11,46.6°C,https://www.daangn.com/kr/buy-sell/%EC%8A%88%ED%8D%BC%EC%9C%99%EC%8A%A4-%EC%9B%94%EB%93%9C%EB%B9%84%ED%96%89%EB%B3%B8%EB%B6%80-c56joi89d72c/
미니빈티지 유리문 나무 수납장,"30,000원",대전 서구 둔산동,1시간 전,판매중,가을바람,빈티지 스타일의 나무 수납장입니다 - 유리문으로 되어있어 내부를 확인할 수 있습니다 - 하단에 서랍 2개가 있어 수납 공간이 넉넉합니다 - 나무 재질로 만들어져 튼튼하고 오래 사용할 수 있습니다 - 갈색톤으로 은은한 분위기를 연출합니다 31-36센치,7,1,3,89,99.0°C,https://www.daangn.com/kr/buy-sell/%EB%AF%B8%EB%8B%88%EB%B9%88%ED%8B%B0%EC%A7%80-%EC%9C%A0%EB%A6%AC%EB%AC%B8-%EB%82%98%EB%AC%B4-%EC%88%98%EB%82%A9%EC%9E%A5-zu4f5bo5c33z/
자라 바스켓백(새상품),"38,000원",대전 서구 둔산동,끌올 1시간 전,판매중,스누피,트랜비에서 7만원대 구입했는데 색감이랑 디자인은 맘에드는데 생각보다 사이즈가 커서 한번도 안쓰고 보관만한 상태예요 현재는 품절된상태고 직접 가지러 오셔야하고  예민하신분 찔러보기 택배거래 사양합니다 가로 58 세로38 폭 19,8,1,2,85,49.8°C,https://www.daangn.com/kr/buy-sell/%EC%9E%90%EB%9D%BC-%EB%B0%94%EC%8A%A4%EC%BC%93%EB%B0%B1-%EC%83%88%EC%83%81%ED%92%88-5216ie9mqsii/
대형 화이트보드 판매(2500*1250),"100,000원",대전 서구 둔산동,1시간 전,판매중,겨울체리,"학원 정리로 인해 대형 화이트보드 판매합니다. 사이즈는 2500*1250 이며, 구매 후 1년도 채 사용하지 않아 상태 좋습니다. 비싸게 주고 설치한 제품이라 퀄리티 좋습니다. 위치는 대전 탄방동이고, 부피가 큰 제품이라 직접 가져가셔야 합니다. 관심 있으신 분은 연락 주세요 🙂",5,0,0,10,36.7°C,https://www.daangn.com/kr/buy-sell/%EB%8C%80%ED%98%95-%ED%99%94%EC%9D%B4%ED%8A%B8%EB%B3%B4%EB%93%9C-%ED%8C%90%EB%A7%A4-2500-1250-12wwg3fdn63d/
아디다스 오리지널 맨투맨 (가격조정없음),"15,000원",대전 서구 둔산동,끌올 1시간 전,판매중,스누피,"아디다스 Originals 투톤 맨투맨 L사이즈입니다  블루와 베이지컬러 두가지색상은 수직으로  절개하여 합친 스타일이고 현재는 단종된 시즌 한정판이었어요  아이들이 무채색옷을 조아해서. 거의몇번입지않고 보관만했고 서랍에 접어 넣어서 생긴 주름입니다 전체적으로 깨끗하지만 생활감,생활기스 있을수 있으니 예민하신분, 찔러보기, 보고 판단하고 입어보시겠다는분들, 반품 절대 사양합니다  최소한 채팅매너도 지켜주시고 당근페이로 선입금시 문고리거래만 하겠습니다 (대략 품은58/ 기장 71정도)",11,1,4,226,49.8°C,https://www.daangn.com/kr/buy-sell/%EC%95%84%EB%94%94%EB%8B%A4%EC%8A%A4-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90-%EB%A7%A8%ED%88%AC%EB%A7%A8-%EA%B0%80%EA%B2%A9%EC%A1%B0%EC%A0%95%EC%97%86%EC%9D%8C-9xfrpiu9qgy5/
카봇 에이스 레스큐 올스타,"10,000원",대전 서구 둔산동,1시간 전,판매중,byeol,"카봇 에이스 레스큐 올스타 입니다 파손, 변색 없이 깨끗합니다 빛, 소리도 잘 나와요 가격제안 받아요~ 환불 X",6,0,1,11,46.6°C,https://www.daangn.com/kr/buy-sell/%EC%B9%B4%EB%B4%87-%EC%97%90%EC%9D%B4%EC%8A%A4-%EB%A0%88%EC%8A%A4%ED%81%90-%EC%98%AC%EC%8A%A4%ED%83%80-tp1tpw385qdb/
앤틱 탁상 시계,"120,000원",대전 서구 둔산동,1시간 전,판매중,가을바람,"앤틱 스타일의 탁상 시계입니다 나무 재질로 되어있고, 갈색톤입니다 섬세한 장식 디테일이 돋보입니다 높이40센치 가로29센치",8,0,1,20,99.0°C,https://www.daangn.com/kr/buy-sell/%EC%95%A4%ED%8B%B1-%ED%83%81%EC%83%81-%EC%8B%9C%EA%B3%84-fz2pjoiy69sd/
대형 칠판 판매(2500*1250),"200,000원",대전 서구 둔산동,1시간 전,판매중,겨울체리,"학원 정리로 인해 대형 칠판 판매합니다. 사이즈는 2500*1250 이며, 구매 후 1년도 채 사용하지 않아 상태 좋습니다. 비싸게 주고 설치한 제품이라 퀄리티 좋습니다. 위치는 대전 탄방동이고, 부피가 큰 제품이라 직접 가져가셔야 합니다. 관심 있으신 분은 연락 주세요 🙂",5,0,0,3,36.7°C,https://www.daangn.com/kr/buy-sell/%EB%8C%80%ED%98%95-%EC%B9%A0%ED%8C%90-%ED%8C%90%EB%A7%A4-2500-1250-5kyayk9kb3y2/
버버리 빈티지 실크 스카프 새상품급,"100,000원",대전 서구 둔산동,끌올 1시간 전,판매중,우왘,"버버리(Burberrys) 빈티지 실크 스카프 - 사이즈는 약 90cm x 90cm입니다 - 부드러운 실크 소재입니다 - 베이지색 바탕에 버버리 특유의 체크 패턴이 고급스러워요 - 특별한 날 포인트로 연출하기 좋습니다 이 제품은 버버리가 1999년 이전에 사용하던 로고인 'Burberrys'(끝에 's'가 붙은 형태)가 새겨진 빈티지 모델로, 승마 채찍(Whip)과 말 머리 장식 등이 어우러진 클래식한 테마의 디자인입니다. ​제품 상세 정보 ​브랜드: Burberrys (빈티지 버버리) ​패턴명: 에퀘스트리안/윕(Equestrian/Whip) 테마 ​소재: 100% 실크 (Silk) ​특징: 버버리 특유의 노바 체크(Nova Check) 테두리와 중앙의 화려한 골드 톤 그래픽이 특징인 스퀘어 스카프입니다. 거의 새제품 상태 최상입니다.",8,0,6,163,48.4°C,https://www.daangn.com/kr/buy-sell/%EB%B2%84%EB%B2%84%EB%A6%AC-%EB%B9%88%ED%8B%B0%EC%A7%80-%EC%8B%A4%ED%81%AC-%EC%8A%A4%EC%B9%B4%ED%94%84-%EC%83%88%EC%83%81%ED%92%88%EA%B8%89-1c4ux8zpvnnm/
