title,price,location,time,status,category
갤럭시탭 s10울트라 / s9울트라 삼성 정품 키보드케이스,"160,000원",세종시 산울동,5시간 전,판매중,디지털기기
"Lg 빔프로젝터 PF50KA, 애플티비 풀박스 + 삼각대 + 스크린 100인치 + 거치대","450,000원",대전 서구 둔산동,6시간 전,판매중,디지털기기
[자급제/미개봉] 갤럭시Z플립7 완전새상품 판매 선물용가능,"1,100,000원",대전 서구 둔산동,끌올 6시간 전,판매중,디지털기기
[자급제/미개봉] 아이폰17프로맥스 512G 판매합니다,"2,210,000원",대전 서구 둔산동,끌올 6시간 전,판매중,디지털기기
애플워치 SE2 44mm 셀룰러버전 미드나잇 미개봉,"250,000원",대전 중구 은행동,끌올 6시간 전,판매중,디지털기기
자급제 아이폰17 256G 화이트 미개봉,"1,170,000원",대전 중구 은행동,6시간 전,판매중,디지털기기
nEar 06 모니터 스피커,"130,000원",대전 유성구 봉명동,끌올 6시간 전,판매중,디지털기기
ASUS RT-BE58U WiFi 7 공유기 새제품,"97,000원",대전 서구 둔산동,끌올 7시간 전,판매중,디지털기기
캐드 작업용 프로그램 정리합니다 오토캐드,"102,500원",대전 서구 둔산동,끌올 7시간 전,판매중,디지털기기
발렌티노 버블백 스니커즈,"407,000원",대전 서구 둔산동,끌올 7시간 전,판매중,남성패션/잡화
나이키 에어포스 1 브라운,"120,000원",대전 서구 둔산동,끌올 7시간 전,판매중,남성패션/잡화
오사카 e패스 2일권 3매 (26년 4월 30일 만료),"73,000원",대전 서구 둔산동,끌올 7시간 전,판매중,티켓/교환권
노스페이스 폴라텍 후리스 자켓 L(100),"85,000원",대전 서구 둔산동,끌올 7시간 전,판매중,남성패션/잡화
하트 로고 맨투맨🥕🥕,"54,000원",대전 서구 관저1동,7시간 전,판매중,남성패션/잡화
새상품 남성 울 바시티 자켓 xl,"60,000원",대전 서구 둔산동,끌올 7시간 전,판매중,남성패션/잡화
나이키 줌보메로 265사이즈 판매,"80,000원",대전 서구 둔산동,끌올 7시간 전,판매중,남성패션/잡화
폴로 케이블 반집업 니트 M,"130,000원",대전 서구 둔산동,7시간 전,판매중,남성패션/잡화
루비암스튜디오 브라운 자켓 46,"100,000원",대전 서구 둔산1동,끌올 8시간 전,판매중,남성패션/잡화
후지필름 XF 16-50mm 렌즈,"570,000원",대전 서구 둔산동,끌올 8시간 전,판매중,디지털기기
스톤아일랜드 그레이 맨투맨 L 정품,"140,000원",대전 유성구 원신흥동,끌올 8시간 전,판매중,남성패션/잡화
말본 골프 반팔 패딩 자켓 베이지 XL(100~105),"180,000원",대전 동구 가오동,끌올 8시간 전,판매중,남성패션/잡화
●투미 알파 브라보 말레이 3way 백팩&숄더백&브리프케이스,"480,000원",대전 서구 둔산동,8시간 전,판매중,남성패션/잡화
크림판 정품 아크테릭스 아톰 후디 L,"550,000원",대전 서구 둔산동,끌올 8시간 전,판매중,남성패션/잡화
톰브라운 암밴드 밀라노스티치 후드집업,"970,000원",대전 서구 둔산동,끌올 8시간 전,판매중,남성패션/잡화
몽클레어 주니치 바람막이 3사이즈,"850,000원",대전 서구 둔산동,끌올 8시간 전,판매중,남성패션/잡화
아미 인타르시아 빅하트 니트 M,"350,000원",대전 서구 둔산동,끌올 8시간 전,판매중,남성패션/잡화
Dell XPS 15 9570 i7 GTX1050Ti 4k 터치 노트북,"470,000원",대전 서구 둔산동,끌올 8시간 전,판매중,디지털기기
갤럭시 s25 256기가 실버쉐도우 자급제 《미개봉 새제품》 팝니다,"910,000원",경기 성남시 분당구 삼평동,9시간 전,판매중,디지털기기
[미개봉] 아이패드 프로m4 13인치 256기가 와이파이 실버 새제품 팝니다,"1,550,000원",서울시 강서구 화곡동,끌올 9시간 전,판매중,디지털기기
나이키 에어 조던 1 미드 레이서 블루 250,"75,000원",대전 서구 둔산동,끌올 9시간 전,판매중,남성패션/잡화
⭕️요시다 포터 리프트 슬링 숄더백,"180,000원",대전 서구 둔산동,9시간 전,판매중,남성패션/잡화
13.3인치 안드로이드 리어모니터(8코어.램4기가.하드64기가) 새제품 팝니다.,"150,000원",대전 중구 유천2동,끌올 9시간 전,판매중,디지털기기
⭕️Made in Japan] 샘소나이트 클래식 정장 코트 가먼트백 - 네임택은 비닐도 안 뜯은 새것,"180,000원",대전 서구 둔산동,9시간 전,판매중,남성패션/잡화
