title,price,location,time,status,category
애플 에어팟 4세대 노캔,"178,000원",대전 유성구 원신흥동,끌올 15일 전,판매중,디지털기기
애플워치 SE 44mm 블랙 세대,"120,000원",대전 유성구 봉명동,12일 전,판매중,디지털기기
애플 에어팟 프로 2세대,"110,000원",대전 유성구 봉명동,끌올 14일 전,판매중,디지털기기
아이패드 에어 11 Wi-Fi 128GB 블루 S급+ 애플펜슬 프로,"700,000원",대전 유성구 봉명동,14일 전,판매중,디지털기기
애플펜슬 2세대 리퍼 미사용,"120,000원",대구 동구 신암4동,끌올 19일 전,판매중,디지털기기
애플 매직 마우스 2 화이트,"35,000원",대전 유성구 봉명동,25일 전,판매중,디지털기기
아이패드 프로 11 M4 256GB + 애플펜슬,"1,150,000원",대전 유성구 봉명동,끌올 14일 전,판매중,디지털기기
애플 매직 키보드 (텐키 포함) 미사용,"70,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
✨상태 SS급✨애플 매직 키보드 A1843(풀배열),"90,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플 펜슬 2세대,"70,000원",대전 유성구 봉명동,25일 전,판매중,디지털기기
벤딕트 무선 애플 카플레이 쉬프트,"35,000원",대전 유성구 봉명동,끌올 23일 전,판매중,디지털기기
애플 에어팟 프로 1세대,"35,000원",대전 유성구 봉명동,끌올 25일 전,판매중,디지털기기
애플 매직 트랙패드 2 라이트닝,"70,000원",대전 유성구 봉명동,7개월 전,판매중,디지털기기
애플 에어팟 2세대,"40,000원",대전 유성구 봉명동,끌올 1개월 전,판매중,디지털기기
애플워치 밴드 44mm 2종 일괄,"45,000원",전북 군산시 수송동,6개월 전,판매중,디지털기기
애플 에어팟 4세대 (노캔O),"150,000원",대전 유성구 봉명동,28일 전,판매중,디지털기기
애플 에어팟 2세대 + 정품충전기 포함,"40,000원",충남 계룡시 두마면,끌올 7개월 전,판매중,디지털기기
"(정품) 애플워치 40mm 밀레니즈 루프, 내추럴 (38•41mm호환가능)","40,000원",전북 군산시 수송동,끌올 5개월 전,판매중,디지털기기
애플 매직 트랙패드2 화이트,"80,000원",대전 유성구 봉명동,1개월 전,판매중,디지털기기
애플 에어팟 4세대 노이즈캔슬링o,"67,000원",대전 유성구 봉명동,끌올 1개월 전,판매중,디지털기기
(미개봉) 애플 에어태그 판매,"35,000원",대전 유성구 봉명동,끌올 5개월 전,판매중,디지털기기
애플 에어팟 3세대,"64,000원",대전 유성구 장대동,9개월 전,판매중,디지털기기
애플 에어팟 3세대,"65,000원",대전 유성구 봉명동,7개월 전,판매중,디지털기기
애플 에어팟 2세대🎧,"40,000원",대전 서구 둔산동,끌올 7개월 전,판매중,디지털기기
애플 에어팟 프로 3 MFHP4KH/A,"280,000원",대전 동구 홍도동,28일 전,판매중,디지털기기
애플 에어팟 2세대,"43,000원",대전 유성구 봉명동,끌올 7개월 전,판매중,디지털기기
애플 5K 썬더볼트 27인치 디스플레이,"150,000원",대전 유성구 봉명동,끌올 4개월 전,판매중,디지털기기
애플 에어팟 4세대 (노캔x),"155,000원",충북 청주시 흥덕구 가경동,9개월 전,판매중,디지털기기
애플 에어팟 3세대,"40,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
(풀박스) 애플 에어팟 3세대 + 본체 + 케이스 세트 팝니다.,"50,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플 에어팟 3세대 판매합니다,"80,000원",경기 용인시 기흥구 언남동,8개월 전,판매중,디지털기기
"새상품 애플 에어팟 2세대 (비닐만 개봉, 사용X)","70,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플 정품 MagSafe 카드지갑 (2개 있어요),"50,000원",세종시 대평동,끌올 8개월 전,판매중,디지털기기
애플 매직 키보드,"55,000원",대전 유성구 봉명동,끌올 6개월 전,판매중,디지털기기
애플 매직 키보드,"50,000원",대전 유성구 봉명동,6개월 전,판매중,디지털기기
애플 정품 아이패드 프로 에어 11 매직키보드 (7월22일 리퍼받음),"200,000원",대전 동구 천동,7개월 전,판매중,디지털기기
Apple TV 셋톱박스2세대입니다,"50,000원",대전 유성구 봉명동,8개월 전,판매중,디지털기기
Apple TV,"80,000원",대전 유성구 원신흥동,5개월 전,판매중,디지털기기
애플 에어팟 프로 1세대 풀박스,"85,000원",대전 유성구 봉명동,1개월 전,판매중,디지털기기
아이패드 에어 11 M2 128GB + Apple Pencil Pro,"750,000원",대전 유성구 봉명동,1개월 전,판매중,디지털기기
애플 에어팟 3세대,"80,000원",대전 유성구 봉명동,4개월 전,판매중,디지털기기
애플펜슬 2세대,"60,000원",대전 유성구 봉명동,끌올 4개월 전,판매중,디지털기기
애플 아이맥 2019 4k 21.5인치,"450,000원",대전 동구 가오동,7개월 전,판매중,디지털기기
애플 매직 마우스 2 화이트 풀박스,"50,000원",전북 전주시 덕진구 덕진동1가,1개월 전,판매중,디지털기기
애플 매직 트랙패드 2 팝니다. 러이트닝 충전,"80,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
아이패드 에어3 스페이스 그레이 + 애플펜슬,"180,000원",대전 유성구 봉명동,1개월 전,판매중,디지털기기
iPad A16 Wi-Fi 128GB 블루 + 애플팬슬 USB-C 미개봉,"580,000원",경기 남양주시 별내동,7개월 전,판매중,디지털기기
아이패드 프로 1세대 9.7 + 애플펜슬 1세대,"90,000원",경기 수원시 영통구 이의동,6개월 전,판매중,디지털기기
✨상태SS급✨애플펜슬 2세대 풀박스,"90,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플 맥 미니 M1 기본형 (8G / 256G),"300,000원",대전 유성구 봉명동,끌올 6개월 전,판매중,디지털기기
애플 에어팟 2세대,"50,000원",대전 유성구 봉명동,7개월 전,판매중,디지털기기
애플워치7 45mm,"120,000원",대전 유성구 봉명동,7개월 전,판매중,디지털기기
애플 에어팟 프로 1 맥세이프 상태 최상,"85,000원",대전 유성구 봉명동,끌올 7개월 전,판매중,디지털기기
아이폰 15 128기가 판매(애플케어 남음),"590,000원",대전 유성구 봉명동,6개월 전,판매중,디지털기기
"내일까지 급처합니다 아이패드 에어6세대,애플팬슬 프로 합친금액입니다","750,000원",대전 유성구 상대동,6개월 전,판매중,디지털기기
m1 아이패드 프로 11인치 셀룰러 256g + 애플펜슬 2세대,"750,000원",대전 유성구 봉명동,8개월 전,판매중,디지털기기
애플 매직 트랙패드2,"114,000원",대전 유성구 봉명동,끌올 2개월 전,판매중,디지털기기
애플워치 정품 밴드 44mm,"40,000원",대전 유성구 봉명동,끌올 9개월 전,판매중,디지털기기
애플 에어팟 3세대,"65,000원",서울시 도봉구 쌍문동,끌올 2개월 전,판매중,디지털기기
애플 에어팟 4세대,"110,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
애플 펜슬 2세대,"90,000원",대전 서구 탄방동,7개월 전,판매중,디지털기기
애플 에어팟 프로 1세대,"40,000원",대전 유성구 가정동,4개월 전,판매중,디지털기기
아이패드 미니 7세대 128GB 블루 A17 PRO C타입 애플펜슬,"600,000원",부산 동구 수정동,끌올 9개월 전,판매중,디지털기기
애플워치 SE 2세대 40mm,"100,000원",충북 진천군 진천읍,끌올 8개월 전,판매중,디지털기기
애플 에어팟 맥스 그린,"200,000원",대전 서구 월평1동,4개월 전,판매중,디지털기기
애플 에어팟 4세대,"95,000원",대전 유성구 봉명동,3개월 전,판매중,디지털기기
애플워치se,"85,000원",대전 유성구 봉명동,끌올 1개월 전,판매중,디지털기기
애플 에어팟 4세대 노캔X,"100,000원",대전 서구 둔산동,2개월 전,판매중,디지털기기
상태S 아이패드 에어5 스그+애플팬슬2세대,"600,000원",대전 유성구 봉명동,끌올 8개월 전,판매중,디지털기기
애플tv 3세대 4K 128GB,"150,000원",경북 안동시 용상동,7개월 전,판매중,디지털기기
애플워치 se2 44mm,"180,000원",대전 유성구 봉명동,6개월 전,판매중,디지털기기
애플 펜슬 2세대,"35,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
애플 맥 미니 M4,"2,100,000원",대전 유성구 봉명동,끌올 7개월 전,판매중,디지털기기
애플워치5 44mm,"150,000원",대전 유성구 봉명동,끌올 8개월 전,판매중,디지털기기
애플워치se2 40mm 스타라이트 gps 미개봉 새상품,"250,000원",세종시 종촌동,끌올 6개월 전,판매중,디지털기기
애플 에어팟 프로 2세대,"140,000원",대전 유성구 봉명동,2개월 전,판매중,디지털기기
애플 Magic Trackpad 극미중고,"90,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
아이패드 에어 5세대 스페이스 그레이 64GB + 애플펜슬 2세대,"570,000원",광주 북구 신용동,끌올 6개월 전,판매중,디지털기기
애플 매직 트랙패드 2,"80,000원",대전 유성구 봉명동,5개월 전,판매중,디지털기기
"아이패드 에어5, 애플펜슬 2세대 (64gb, wi-fi)","475,000원",대전 유성구 봉명동,끌올 5개월 전,판매중,디지털기기
