title,price,location,time,status,url,seller_nickname,description,image_count
네이비 겨울용 반팔 원피스 (사이즈 55정도),"6,000원",대전 서구 둔산동,끌올 46분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%84%A4%EC%9D%B4%EB%B9%84-%EA%B2%A8%EC%9A%B8%EC%9A%A9-%EB%B0%98%ED%8C%94-%EC%9B%90%ED%94%BC%EC%8A%A4-%EC%82%AC%EC%9D%B4%EC%A6%88-55%EC%A0%95%EB%8F%84-6b7nmh1vyeug/,당근당근,"- 상태는 사진과 같습니다. 주머니 있어요. - 속치마 안감 있고, 전체적으로 두께감 있습니다. - 거래 시 상태 꼼꼼히 확인해주세요.  ⭐️대면거래만⭐️ 합니다! - 교환/환불❌, 문고리/택배❌ - 판매 중인 다른 옷들도 많이 있으니 같이 구경하세요~",11
보니알렉스 블라우스 55,"3,000원",대전 서구 둔산동,끌올 46분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B3%B4%EB%8B%88%EC%95%8C%EB%A0%89%EC%8A%A4-%EB%B8%94%EB%9D%BC%EC%9A%B0%EC%8A%A4-55-t9merm1bb7qp/,당근당근,"- 상태는 사진과 같습니다. 기장 58cm. - 거래 시 상태 꼼꼼히 확인해주세요.  ⭐️대면거래만⭐️ 합니다! - 교환/환불❌, 문고리/택배❌ - 판매 중인 다른 옷들도 많이 있으니 같이 구경하세요~",8
청정원 선물세트 S호,"10,000원",대전 서구 둔산동,46분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%B2%AD%EC%A0%95%EC%9B%90-%EC%84%A0%EB%AC%BC%EC%84%B8%ED%8A%B8-s%ED%98%B8-soy8xoaywogk/,밤톨이맘,"청정원 선물세트입니다 선입금해주시면 문에 걸어놓겠습니다. 새제품이지만 중고거라 교환, 환불은 어려운 점 이해 부탁드려요~",6
야마하 업라이트 피아노,"1,900,000원",대전 서구 둔산동,끌올 47분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%BC%EB%A7%88%ED%95%98-%EC%97%85%EB%9D%BC%EC%9D%B4%ED%8A%B8-%ED%94%BC%EC%95%84%EB%85%B8-1on4mcvh22um/,빼꼼,야마하 업라이트 피아노 판매합니다 어릴때 사용하고  장식용이 되어 판매해요. 조율해야하구요,11
또봇 트라이탄 Y,"5,000원",대전 서구 둔산동,48분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%98%90%EB%B4%87-%ED%8A%B8%EB%9D%BC%EC%9D%B4%ED%83%84-y-ujoigku92v6b/,byeol,"또봇 트라이탄 Y 입니다 파손, 변색 없이 깨끗합니다 가격제안 받아요~ 환불 X",5
베고니아 어텀 엠버,"8,000원",대전 서구 둔산동,48분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%B2%A0%EA%B3%A0%EB%8B%88%EC%95%84-%EC%96%B4%ED%85%80-%EC%97%A0%EB%B2%84-77n5ymnqdx3b/,딩가,"가을 단풍같은 베고니아 어텀 엠버입니다. 어릴 때는 연두, 노랑, 주황, 적갈색의 다채로운 색상으로 자라고 성체가 될수록 밝은 주황, 적갈색으로 진해져요. 실습에서 키우고 있어요. 마지막은 모체 사진입니다. 화분 : 지름 7.5cm",11
전자저울 10kg 새상품,"15,000원",대전 서구 둔산동,끌올 50분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%A0%84%EC%9E%90%EC%A0%80%EC%9A%B8-10kg-%EC%83%88%EC%83%81%ED%92%88-kxt5pfvehs6q/,금빛물결,한번도 안 쓴 새상품입니다  AAA건전지로 작동해요 최소 0.1g ~ 10kg 까지 측정가능해요 그 외 자세한 내용은 저도 몰라요 택배 또는 큰마을네거리 근처에서 비대면 거래합니다,7
로케트 Plus Edition RP200-12 배터리,"70,000원",대전 서구 둔산동,끌올 50분 전,판매중,https://www.daangn.com/kr/buy-sell/%EB%A1%9C%EC%BC%80%ED%8A%B8-plus-edition-rp200-12-%EB%B0%B0%ED%84%B0%EB%A6%AC-o5be5zrpxu34/,얼죽아,"로케트 Plus Edition RP200-12 산업용 배터리 판매합니다. 12V 200AH 제품이에요. 제조일자는 22년 7월 14일입니다 전기실 안 전기함에서 상시충전중이던 배터리입니다. 가로 525mm 세로 281mm 높리 223mm입니다. 무게는 55kg이에요 모두 12.7V이상 측정됩니다! 대용량이라 캠핑, 낚시, 아웃도어 하시는분들도 추천드려요. 1개당 가격이에요. 거래는 오정동에서 가능합니다",7
삼성 외장하드 Y3 2TB HX-MK20Y3C,"120,000원",대전 서구 둔산동,끌올 51분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-%EC%99%B8%EC%9E%A5%ED%95%98%EB%93%9C-y3-2tb-hx-mk20y3c-u6r76mfbt3ks/,땅꼬마,삼성 외장하드 Y3 2TB 모델입니다 모델명은 HX-MK20Y3C입니다 - 슬림하고 가벼운 디자인으로 휴대하기 편리합니다 - 데이터 보호 기능으로 안심하고 사용할 수 있습니다 케이스와 케이블 함께 드립니다 쿠팡에서 15만9천원에 구매했고 일주일지났습니다 사용도안한 세제품이에요! 필요해서 샀는데 필요가없어져서 판매해여 ㅠㅠ,9
산업안전지도사 필기 교재,"60,000원",대전 서구 둔산동,51분 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%82%B0%EC%97%85%EC%95%88%EC%A0%84%EC%A7%80%EB%8F%84%EC%82%AC-%ED%95%84%EA%B8%B0-%EA%B5%90%EC%9E%AC-4v42arnu2idj/,썬더,산업안전지도사 1차 필기 교재입니다 2026년까지 사용 가능합니다 새상품입니다. 올해 시험보려고 했으나 미응시로 필요하신분게 판매합니다. 쿨거래시 에눌가능,5
