title,price,location,time,status,url
아이폰 14 화이트 128GB,"350,000원",둔산동,끌올 1시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-14-%ED%99%94%EC%9D%B4%ED%8A%B8-128gb-k24dxztpcb4d/
어프어프 아이폰 15 맥세이프 케이스 새상품 1+1,"6,000원",둔산동,끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%96%B4%ED%94%84%EC%96%B4%ED%94%84-%EC%95%84%EC%9D%B4%ED%8F%B0-15-%EB%A7%A5%EC%84%B8%EC%9D%B4%ED%94%84-%EC%BC%80%EC%9D%B4%EC%8A%A4-%EC%83%88%EC%83%81%ED%92%88-1-1-b9hi86njm2ch/
아이폰 13 Pro 그래파이트,"480,000원",둔산동,끌올 2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-13-pro-%EA%B7%B8%EB%9E%98%ED%8C%8C%EC%9D%B4%ED%8A%B8-on9zi93nxxz3/
아이폰 케이스 모음 13프로,"40,000원",둔산동,2시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-%EC%BC%80%EC%9D%B4%EC%8A%A4-%EB%AA%A8%EC%9D%8C-13%ED%94%84%EB%A1%9C-r3vx5ngbe369/
아이폰X 64GB,"190,000원",둔산동,끌올 4일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0x-64gb-5bs34rv66259/
아이폰 14 퍼플 256g,"400,000원",둔산동,4시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-14-%ED%8D%BC%ED%94%8C-256g-vtdc96faxsxk/
아이폰 미니12 블랙,"170,000원",둔산동,끌올 3시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-%EB%AF%B8%EB%8B%8812-%EB%B8%94%EB%9E%99-hcyzn4y57xcu/
아이폰 13 Pro 256gb 팝니다,"450,000원",둔산동,6일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-13-pro-256gb-%ED%8C%9D%EB%8B%88%EB%8B%A4-ore2hg6iaezk/
아이폰 15 플러스,"600,000원",둔산동,끌올 19시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-%ED%94%8C%EB%9F%AC%EC%8A%A4-8akeinskb4bn/
아이폰 xs 64GB,"180,000원",둔산동,17시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-xs-64gb-o6zp95udjks8/
아이폰13미니 화이트 128,"220,000원",둔산동,끌올 2일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B013%EB%AF%B8%EB%8B%88-%ED%99%94%EC%9D%B4%ED%8A%B8-128-t8vtodpf3u9p/
아이폰8 골드 64G,"79,000원",둔산동,끌올 7일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B08-%EA%B3%A8%EB%93%9C-64g-dt3dhpt3u5j4/
아이폰 15 Pro 128GB 팝니다,"750,000원",둔산동,21시간 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-15-pro-128gb-%ED%8C%9D%EB%8B%88%EB%8B%A4-1ws6c3awyo4g/
아이폰 16프로 128G싸게올려봄 내츄럴티타늄,"780,000원",둔산동,2일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-16%ED%94%84%EB%A1%9C-128g%EC%8B%B8%EA%B2%8C%EC%98%AC%EB%A0%A4%EB%B4%84-%EB%82%B4%EC%B8%84%EB%9F%B4%ED%8B%B0%ED%83%80%EB%8A%84-sk1xywx3n9pk/
아이폰6s 실버 64G,"150,000원",둔산동,1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B06s-%EC%8B%A4%EB%B2%84-64g-ar5158c5bpsk/
아이폰5S 16기가 새거급 무음촬영OK 배터리효율100%,"95,000원",둔산동,끌올 2일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B05s-16%EA%B8%B0%EA%B0%80-%EC%83%88%EA%B1%B0%EA%B8%89-%EB%AC%B4%EC%9D%8C%EC%B4%AC%EC%98%81ok-%EB%B0%B0%ED%84%B0%EB%A6%AC%ED%9A%A8%EC%9C%A8100-dgta46f22gaq/
아이폰 SE 1세대 로즈골드,"200,000원",둔산동,2일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-se-1%EC%84%B8%EB%8C%80-%EB%A1%9C%EC%A6%88%EA%B3%A8%EB%93%9C-r87cd986eb8b/
아이폰 13 pro 256GB 그라파이트,"350,000원",둔산동,끌올 9일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B0-13-pro-256gb-%EA%B7%B8%EB%9D%BC%ED%8C%8C%EC%9D%B4%ED%8A%B8-mvigo6rbk4wv/
아이폰6 16기가 스그 실버 S급 무음카메라 배터리100%,"95,000원",둔산동,끌올 1일 전,판매중,https://www.daangn.com/kr/buy-sell/%EC%95%84%EC%9D%B4%ED%8F%B06-16%EA%B8%B0%EA%B0%80-%EC%8A%A4%EA%B7%B8-%EC%8B%A4%EB%B2%84-s%EA%B8%89-%EB%AC%B4%EC%9D%8C%EC%B9%B4%EB%A9%94%EB%9D%BC-%EB%B0%B0%ED%84%B0%EB%A6%AC100-h24p17yz6k4x/
